name,place_id,description,summary
Caddebostan Cultural Center,126059,"The Caddebostan Cultural Center be a vibrant hub of arts and culture , hosting a diverse range of events , exhibitions , and performances throughout the year . Art enthusiasts can explore galleries showcasing contemporary and traditional works by local and international artists , while theater buffs can enjoy captivating performances in the center 's auditoriums . Workshops , lectures , and film screenings provide opportunities for creative learning and intellectual engagement , fostering a sense of community and cultural exchange . Families and children can participate in educational programs and activities designed to inspire creativity and curiosity . With its dynamic programming and inclusive atmosphere , the Caddebostan Cultural Center enrich the cultural landscape of Kadikoy , serving as a beloved gathering place for residents and visitors alike .",the Caddebostan Cultural center be a vibrant hub of arts and culture. art enthusiasts can explore galleries showcasing contemporary and traditional works by local and international artists. families and children can participate in educational programs designed to inspire creativity and curiosity.
Moda Pier,131564,"Moda Pier be a picturesque waterfront promenade offering stunning views of the Marmara Sea and Istanbul 's iconic skyline . Visitors can stroll along the pier 's wooden boardwalk , taking in panoramic vistas of passing ferries , sailboats , and seagulls soaring overhead . Fishing enthusiasts cast their lines into the sea , hoping for a catch of the day , while photographers capture the beauty of the waterfront against the backdrop of the setting sun . As evening falls , the pier become a romantic spot for couples , with twinkling lights illuminating the water and creating a magical ambiance . With its tranquil atmosphere and breathtaking views , Moda Pier be a cherished destination for relaxation and leisure along Kadikoy 's coast .","moda pier be a picturesque waterfront promenade offering stunning views of the marmara sea and Istanbul's iconic skyline. visitors can stroll along the pier's wooden boardwalk, taking in panoramic vistas of passing ferries."
Haydarpasa Train Station,517228,"Haydarpasa Train Station be a historic landmark renowned for its majestic architecture and pivotal role in Istanbul 's transportation network . Built in the early 20th century , the station served as a gateway between Istanbul and Anatolia , connecting travelers to distant cities and regions . Today , the station stand as a symbol of Istanbul 's rich history and cultural heritage , attracting visitors with its grand facade and iconic clock tower . Although the station is no longer in active use for passenger trains , it remain a beloved icon of the city , hosting cultural events , exhibitions , and performances throughout the year . As one of Istanbul 's most recognizable landmarks , Haydarpasa Train Station continue to captivate the imagination of locals and tourists alike , serving as a timeless reminder of the city 's enduring legacy .","built in the early 20th century, the station served as a gateway between Istanbul and Anatolia. today, the station stand as a symbol of Istanbul's rich history and cultural heritage. although no longer in active use for passenger trains, it remain a beloved icon of the city."
Haldun Taner Stage,784820,"Haldun Taner Stage be a renowned theater venue located in the heart of Kadikoy , offering a diverse range of performances , plays , and cultural events . Named after the celebrated Turkish playwright Haldun Taner , the stage is dedicated to promoting theatrical arts and fostering creative expression within the community . Theater enthusiasts can enjoy a variety of productions , from classic dramas to contemporary comedies , performed by talented actors and directors . The stage also host workshops , readings , and educational programs for aspiring artists and theater enthusiasts of all ages . With its vibrant atmosphere and rich cultural offerings , the Haldun Taner Stage serve as a vibrant center for artistic exploration and entertainment in Kadikoy .","named after the celebrated Turkish playwright Haldun Taner, the stage is dedicated to promoting theatrical arts. theater enthusiasts can enjoy a variety of productions, from classic dramas to contemporary comedies. the stage also host workshops, readings, and educational programs for aspiring artists and theater enthusiasts."
Fenerbahce Marina,199043,"Fenerbahce Marina be a modern waterfront destination offering a range of amenities and services for boaters and visitors alike . Boasting state - of - the - art facilities and stunning views of the sea , the marina be a popular hub for yacht owners and sailing enthusiasts seeking berthing services and maintenance support . Visitors can enjoy waterfront dining at the marina 's restaurants and cafes , savoring fresh seafood and international cuisine while admiring panoramic vistas of the Marmara Sea . The marina also host events , boat shows , and water sports competitions throughout the year , adding to its vibrant atmosphere and community spirit . With its prime location and world - class amenities , Fenerbahce Marina provide an idyllic setting for leisure and recreation along Istanbul 's Asian coast .","marina be a popular hub for yacht owners and sailing enthusiasts seeking berthing services and maintenance support. visitors can enjoy waterfront dining at the marina's restaurants and cafes while admiring panoramic views of the marmara sea. marina also host events, boat shows, and water sports competitions throughout the year."
Yogurtcu Park,587424,"Yogurtcu Park be a tranquil green space nestled within the heart of Kadikoy , offering a serene escape from the urban hustle and bustle . Visitors can wander along shaded pathways , surrounded by lush vegetation and blooming flowers , providing a peaceful respite amidst nature 's beauty . Families and friends gather in the park for picnics , games , and outdoor activities , enjoying quality time together in a relaxed and inviting atmosphere . The park 's playgrounds and recreational facilities offer fun and entertainment for children of all ages , fostering creativity and active play in a safe and welcoming environment . Whether for a leisurely stroll , a picnic with loved ones , or simply unwinding amidst nature 's tranquility , Yogurtcu Park provide a cherished retreat for locals and visitors alike in Kadikoy .","Yogurtcu park be a tranquil green space nestled within the heart of Kadikoy. visitors can wander along shaded pathways, surrounded by lush vegetation. playgrounds and recreational facilities offer fun and entertainment for children."
Tepe Nautilus Shopping Center,921601,"Goztepe Tepe Nautilus be a modern shopping center located in Kadikoy , offering a diverse range of retail stores , restaurants , and entertainment options . Visitors can shop for fashion , electronics , and household goods , then enjoy a meal or catch a movie at the center 's restaurants and cinemas . With its convenient location and ample parking facilities , Goztepe Tepe Nautilus provide a convenient and enjoyable shopping experience for visitors of all ages .","goztepe Tepe Nautilus be a modern shopping center located in Kadikoy. visitors can shop for fashion, electronics, and household goods. then enjoy a meal or catch a movie at the center's restaurants and cinemas."
Moda Sea Club,156464,"Moda Sea Club be a popular seaside venue in Kadikoy , offering a range of leisure and entertainment options for visitors to enjoy . Guests can relax by the pool , soak up the sun on the terrace , or indulge in delicious cuisine at the club 's restaurant and bar . The club also host events , parties , and live music performances , creating a vibrant atmosphere for socializing and fun . With its stunning views of the Marmara Sea and lively ambiance , Moda Sea Club be a beloved destination for locals and tourists alike .","moda sea club be a popular seaside venue in kadikoy. offers a range of leisure and entertainment options for visitors. host events, parties, and live music performances. a popular destination for locals and tourists alike."
Dem Moda,648883,"Dem Moda be a stylish cafe and restaurant located in the heart of Moda , offering a cozy ambiance and delicious cuisine for guests to enjoy . Known for its warm hospitality and relaxed atmosphere , the cafe be a popular spot for breakfast , brunch , and casual dining with friends and family . Guests can savor freshly brewed coffee , homemade pastries , and a variety of Mediterranean - inspired dishes made with locally sourced ingredients . With its charming decor and friendly service , Dem Moda provide a welcoming haven for food and coffee enthusiasts in Kadikoy .","Dem moda be a stylish cafe and restaurant located in the heart of moda. the cafe be a popular spot for breakfast, brunch, and casual dining with friends. a variety of Mediterranean - inspired dishes made with locally sourced ingredients."
Caffe Cadde,898991,"Caffe Cadde be a trendy cafe nestled along a bustling street in Kadikoy , known for its artisanal coffee , delectable pastries , and cozy ambiance . Guests can relax on the outdoor terrace or cozy up indoors while enjoying a freshly brewed cup of coffee and a selection of sweet and savory treats . The cafe 's friendly baristas and welcoming atmosphere make it a favorite spot for locals and tourists alike to unwind and recharge . Whether for a quick caffeine fix or a leisurely afternoon spent with friends , Caffe Cadde offer a delightful escape from the hustle and bustle of the city .","caffe Cadde be a trendy cafe nestled along a bustling street in kadikoy. known for its artisanal coffee, delectable pastries, and cozy ambiance. the cafe's friendly baristas and welcoming atmosphere make it a favorite spot for locals and tourists alike."
Brekkie Croissant & Cookie,195027,"Brekkie Croissant & Cookie be a charming bakery and cafe located in Kadikoy , specializing in freshly baked croissants , cookies , and other delectable pastries . Guests can start their day with a flaky croissant paired with a steaming cup of coffee or indulge in a sweet treat from the bakery 's tempting selection of cookies and cakes . The cafe 's cozy interior and friendly staff create a warm and inviting atmosphere , making it the perfect spot for a leisurely breakfast or afternoon snack . With its delicious baked goods and welcoming ambiance , Brekkie Croissant & Cookie be a beloved destination for pastry lovers in Kadikoy .","Brekkie Croissant & Cookie be a charming bakery and cafe located in Kadikoy. specializing in freshly baked croissants, cookies, and other delectable pastries. cozy interior and friendly staff create a warm and inviting atmosphere."
Ciya Sofrası,441361,"Ciya Sofrasi be a renowned restaurant located in Kadikoy , celebrated for its authentic Turkish cuisine and vibrant flavors . Guests can savor a variety of traditional dishes inspired by regional specialties from across Turkey , prepared with fresh , locally sourced ingredients . The restaurant 's cozy ambiance and friendly service create a welcoming atmosphere for diners to enjoy a memorable culinary experience with friends and family . With its commitment to preserving Turkish culinary traditions and showcasing the diverse flavors of the country , Ciya Sofrasi has earned a reputation as a must - visit dining destination in Kadikoy .","Ciya sofrasi be a renowned restaurant located in Kadikoy, celebrated for its authentic Turkish cuisine and vibrant flavors. Guests can savor a variety of traditional dishes inspired by regional specialties from across turkey."
Brasserie Noir,107662,"Brasserie Noir be a chic restaurant and bar located in Kadikoy , offering a sophisticated dining experience with a modern twist . Guests can indulge in creative cocktails , fine wines , and gourmet cuisine prepared with seasonal ingredients and innovative techniques . The restaurant 's stylish decor and elegant ambiance create a refined atmosphere for diners to enjoy an unforgettable meal or evening out . With its attentive service and culinary excellence , Brasserie Noir be a top choice for discerning food enthusiasts and socialites in Kadikoy .","brasserie noir be a chic restaurant and bar located in kadikoy. guests can indulge in creative cocktails, fine wines, and gourmet cuisine prepared with seasonal ingredients. the restaurant's stylish decor and elegant ambiance create a refined atmosphere for diners to enjoy an unforgettable meal or evening out."
Aida Vino E Cucina,733989,"Aida Vino E Cucina be a charming Italian restaurant nestled in the heart of Kadikoy , known for its authentic Italian cuisine and warm hospitality . Guests can enjoy a variety of classic Italian dishes , from homemade pasta and wood - fired pizzas to fresh seafood and flavorful antipasti . The restaurant 's cozy interior and rustic decor create a cozy atmosphere for diners to savor a leisurely meal with friends and family . With its extensive wine list featuring Italian varietals and attentive service , Aida Vino E Cucina offer a taste of Italy in the heart of Kadikoy .",aida vino e cucina is a charming italian restaurant nestled in the heart of Kadikoy. the restaurant's cozy interior and rustic decor create a cozy atmosphere for diners to savor a leisurely meal.
Sukru Saracoglu Stadium,432443,"Sukru Saracoglu Stadium be a historic football stadium located in Kadikoy , serving as the home ground for Fenerbahce S.K. , one of Turkey 's most successful football clubs . The stadium have a rich sporting heritage and has hosted countless memorable matches and championships over the years . With its electrifying atmosphere and passionate fan base , Sukru Saracoglu Stadium be an iconic symbol of Turkish football culture and a must - visit destination for sports enthusiasts in Kadikoy .",sukru Saracoglu stadium be a historic football stadium located in kadikoy. serving as the home ground for one of turkey's most successful football clubs. the stadium have a rich sporting heritage and has hosted countless memorable matches and championships over the years.
Ayia Efimia Church,176570,"Ayia Efimia Church be a historic Greek Orthodox church located in Kadikoy , dating back to the Byzantine era . The church is renowned for its beautiful architecture , intricate frescoes , and religious significance , attracting visitors from far and wide to admire its timeless beauty and spiritual ambiance . With its rich history and cultural heritage , Ayia Efimia Church be a cherished landmark in Kadikoy , serving as a testament to the city 's multicultural past and enduring legacy .","Ayia Efimia Church be a historic Greek Orthodox church located in Kadikoy. dating back to the byzantine era, the church is renowned for its beautiful architecture and intricate frescoes. the church attracts visitors from far and wide to admire its timeless beauty and spiritual ambiance."
Aya Triada Church,372615,"Aya Triada Church be a historic Greek Orthodox church located in Kadikoy , renowned for its stunning architecture and religious significance . Dating back to the Byzantine era , the church is adorned with intricate frescoes , ornate iconography , and beautiful marble carvings , showcasing the craftsmanship of its time . Visitors can explore the church 's interior , marveling at its timeless beauty and spiritual ambiance , while learning about its rich history and cultural heritage . With its serene atmosphere and architectural splendor , Aya Triada Church be a beloved destination for visitors seeking a glimpse into Kadikoy 's multicultural past and religious heritage .","Aya triada church be a historic Greek Orthodox church located in Kadikoy. dating back to the byzantine era, the church is adorned with intricate frescoes, ornate iconography and beautiful marble carvings."
Sogutlucesme Mosque,745475,"Sogutlucesme Mosque be a historic mosque located in Kadikoy , known for its beautiful Ottoman architecture and serene ambiance . Dating back to the 19th century , the mosque feature elegant domes , intricate minarets , and ornate decorations , showcasing the craftsmanship of its time . Visitors can admire the mosque 's exterior facade and serene courtyard , then step inside to experience its peaceful interior and spiritual atmosphere . With its rich history and cultural significance , Sogutlucesme Mosque be a cherished landmark in Kadikoy , serving as a place of worship and reflection for the local community .","sogutlucesme mosque be a historic mosque located in Kadikoy. the mosque feature elegant domes, intricate minarets, and ornate decorations. visitors can step inside to experience its peaceful interior and spiritual atmosphere."
Hasanpasa Mosque,950867,"Hasanpasa Mosque be a historic mosque located in Kadikoy , known for its distinctive Ottoman architecture and religious significance . Dating back to the 18th century , the mosque feature elegant domes , slender minarets , and intricate decorations , showcasing the craftsmanship of its time . Visitors can admire the mosque 's exterior facade and tranquil courtyard , then step inside to experience its serene interior and spiritual ambiance . With its rich history and cultural heritage , Hasanpasa Mosque be a cherished landmark in Kadikoy , serving as a place of worship and community gathering for generations .","hasanpasa mosque be a historic mosque located in Kadikoy. dating back to the 18th century, the mosque feature elegant domes, slender minarets, and intricate decorations. visitors can admire the mosque's exterior facade and tranquil courtyard."
Dorock XL,744985,"Dorock XL be a popular live music venue and nightclub located in Kadikoy , known for its vibrant atmosphere and energetic performances . Guests can enjoy a variety of live music acts , including rock , jazz , blues , and electronic , performed by talented local and international artists . The nightclub 's spacious dance floor and state - of - the - art sound system create an immersive experience for partygoers to dance the night away . With its eclectic lineup of events and dynamic ambiance , Dorock XL promise an unforgettable night of music and entertainment in Kadikoy .",dorock xl is a popular live music venue and nightclub located in Kadikoy. the venue's spacious dance floor and state - of - the - art sound system create an immersive experience for partygoers to dance the night away.
Fil Bar,846545,"Fil Bar be a cozy neighborhood bar located in Kadikoy , known for its laid - back vibe and friendly atmosphere . Guests can relax with a cold beer , cocktail , or glass of wine while socializing with friends or watching live sports on TV . The bar 's eclectic decor and eclectic music selection create a welcoming ambiance for patrons to unwind and enjoy a leisurely evening out . With its affordable drinks and relaxed ambiance , Fil Bar be a beloved hangout spot for locals and expats alike in Kadikoy .","the bar's eclectic decor and eclectic music selection create a welcoming ambiance for patrons to unwind and enjoy a leisurely evening out. with its affordable drinks and relaxed ambiance, Fil bar be a beloved hangout spot for locals and expats alike."
Ayi Pub,656298,"Ayi Pub be a lively sports bar and pub located in Kadikoy , known for its casual vibe and extensive selection of beers and spirits . Guests can catch live sports games on the big screen TVs , play billiards or darts with friends , or simply relax and enjoy the pub 's laid - back ambiance . The bar 's friendly staff and welcoming atmosphere make it a popular spot for locals and tourists alike to unwind and socialize over drinks . With its affordable prices and vibrant energy , Ayi Pub be a favorite destination for nightlife in Kadikoy .",ayi pub be a lively sports bar and pub located in Kadikoy. known for its casual vibe and extensive selection of beers and spirits. ayi pub be a favorite destination for locals and tourists alike.
Belfast Irish Pub,820326,"Belfast Irish Pub be a cozy pub located in Kadikoy , known for its warm hospitality and authentic Irish ambiance . Guests can enjoy a pint of Guinness or a glass of whiskey while listening to live music , playing traditional Irish tunes , or watching sports on the TV screens . The pub 's cozy interior and friendly staff create a welcoming atmosphere for patrons to relax and socialize with friends or meet new people . With its lively vibe and genuine Irish charm , Belfast Irish Pub offer a taste of the Emerald Isle in the heart of Kadikoy .","Belfast Irish pub be a cozy pub located in Kadikoy, known for its warm hospitality and authentic Irish ambiance. Guests can enjoy a pint of guinness or a glass of whiskey while listening to live music or playing traditional Irish tunes."
Baylan,479281,"Baylan be a historic patisserie and cafe located in Kadikoy , renowned for its delectable desserts and pastries . Established in 1923 , the patisserie have a rich culinary heritage and is famous for its signature chocolate sponge cake , known as the "" Baylan Bomba . "" Guests can indulge in a variety of sweet treats , including cakes , pastries , and ice cream , while sipping coffee or tea in the cafe 's charming ambiance . With its timeless recipes and dedication to quality craftsmanship , Baylan continue to delight generations of dessert enthusiasts in Kadikoy and beyond .","Baylan be is a historic patisserie and cafe located in Kadikoy. famous for its signature chocolate sponge cake known as the "" baylan bomba "". Guests can indulge in a variety of sweet treats while sipping coffee or tea in the cafe's charming ambiance."
Sekerci Cafer Erol,165264,"Sekerci Cafer Erol be a beloved Turkish sweets shop located in Kadikoy , known for its delicious confections and traditional Turkish delights . Founded in 1817 , the shop have a long - standing reputation for its quality ingredients , authentic recipes , and impeccable craftsmanship . Guests can choose from a variety of sweet treats , including lokum ( Turkish delight ) , baklava , and candied fruits , while savoring the shop 's nostalgic ambiance and warm hospitality . With its commitment to preserving Turkish culinary traditions and satisfying sweet cravings , Sekerci Cafer Erol remain a cherished destination for dessert lovers in Kadikoy .","Founded in 1817, the shop have a long - standing reputation for its quality ingredients, authentic recipes, and impeccable craftsmanship. Guests can choose from a variety of sweet treats, including lokum ( Turkish delight ), baklava, and candied fruits."
Ali Muhiddin Haci Bekir,883675,"Ali Muhiddin Haci Bekir be a historic Turkish delight shop located in Kadikoy , renowned for its exquisite confections and time - honored recipes . Founded in 1777 , the shop have a rich culinary heritage and is famous for its handcrafted lokum ( Turkish delight ) , made with premium ingredients and traditional methods . Guests can browse an array of flavors and varieties , from classic rose and pistachio to exotic fruit and nut combinations , while enjoying the shop 's charming ambiance and friendly service . With its dedication to quality and authenticity , Ali Muhiddin Haci Bekir continue to delight generations of sweet enthusiasts in Kadikoy and beyond .","Ali Muhiddin Haci Bekir be a historic Turkish delight shop located in Kadikoy. famous for its handcrafted lokum ( Turkish delight ), made with premium ingredients and traditional methods. Founded in 1777, the shop have a rich culinary heritage."
Tarih Edebiyat Sanat Kütüphanesi (TESAK),161477,"The history of the Kadikoy Municipal Organization date back to the 1869 Municipal Regulation , which divided Istanbul into 14 municipal districts , with Kadikoy as the 13th district . The Kadikoy Municipal Branch building , constructed during Mayor Dr. Cemil Topuzlu 's tenure , was designed by Armenian architect Yervant Terziyan and built on reclaimed land known as Kumluk . Reflecting the architectural style of the era , the building feature pointed arches , tiled facades , and weight tower - like pillars . It has witnessed many historical events and is a significant work of the First National Architecture Period . After serving various municipal roles , it was restored in 1995 and reopened in 2014 as the ' Kadikoy History , Literature , and Art Library ' ( TESAK ) . TESAK offer a comprehensive collection of materials and hosts cultural events , operating from 09:00 to 21:00 on weekdays and Saturdays , and is closed on Sundays .","the history of the Kadikoy Municipal Organization date back to the 1869 Municipal Regulation. the building was designed by Armenian architect Yervant Terziyan and built on reclaimed land known as Kumluk. it was restored in 1995 and reopened in 2014 as the'Kadikoy History, Literature, and Art Library'( TESAK )"
Omer Faruk Toprak Library,407442,"The Omer Faruk Toprak Library be a dynamic learning resource center dedicated to promoting literacy , education , and lifelong learning within the community . Offering a diverse collection of books , periodicals , and multimedia resources , the library provide patrons with access to a wealth of information across various subjects and disciplines . State - of - the - art facilities and technology enhance the learning experience , with study areas , computer labs , and research spaces available for academic pursuits and intellectual inquiry . The library also host educational programs , workshops , and cultural events , fostering a culture of reading , critical thinking , and creativity among its patrons . With its commitment to knowledge sharing and community engagement , the Omer Faruk Toprak Library play a vital role in promoting intellectual growth and cultural enrichment in Kadikoy and beyond .","the library provide patrons with access to a wealth of information across various subjects and disciplines. state - of - the - art facilities and technology enhance the learning experience. the library also host educational programs, workshops, and cultural events."
IMM Kadikoy İskele Library,775469,"The IMM Kadikoy Iskele Library be a vibrant community hub dedicated to promoting literacy , lifelong learning , and cultural enrichment within the neighborhood . Equipped with an extensive collection of books , magazines , and multimedia resources , the library provide patrons with access to a diverse range of educational materials and information . State - of - the - art facilities and technology enhance the learning experience , with study areas , computer stations , and reading lounges available for patrons of all ages . The library also host a variety of programs and activities , including book clubs , workshops , and cultural events , fostering a sense of community and intellectual curiosity among its visitors . With its welcoming atmosphere and dynamic programming , the IMM Kadikoy Iskele Library serve as a valued resource for education , recreation , and community engagement in Kadikoy and beyond .","the IMM Kadikoy Iskele library be a vibrant community hub dedicated to promoting literacy, lifelong learning, and cultural enrichment. the library provide patrons with access to a diverse range of educational materials and information. state - of - the - art facilities and technology enhance the learning experience."
DoubleTree by Hilton Istanbul - Moda,616147,"DoubleTree by Hilton Istanbul - Moda be a luxurious waterfront hotel offering contemporary accommodations and upscale amenities in the heart of Kadikoy . Situated along the scenic shores of the Marmara Sea , the hotel boast stunning views of Istanbul 's skyline and easy access to popular attractions and landmarks . Elegant guest rooms and suites feature modern furnishings , plush bedding , and state - of - the - art technology , providing a comfortable and stylish retreat for travelers . The hotel 's restaurants and bars offer a variety of dining options , from international cuisine to signature cocktails , while its wellness facilities , including a spa and fitness center , ensure guests can relax and rejuvenate during their stay . With its prime location , sophisticated ambiance , and attentive service , DoubleTree by Hilton Istanbul - Moda promise an unforgettable experience for business and leisure travelers alike .","the hotel is situated along the scenic shores of the marmara sea. elegant guest rooms and suites feature modern furnishings and plush bedding. its restaurants and bars offer a variety of dining options, from international cuisine to signature cocktails. its wellness facilities, including a spa and fitness center, ensure guests can relax and rejuvenate during their stay."
